"""",951
光豬,3
六,36
壯士,7
.,13019
噉,2686
𠻺,513
第一,52
時間,73
呢,2682
",",8899
就,1771
仆,1
咗,804
去,749
睇,539
套,52
五點半,5
點解,176
又,883
要,610
日,130
仆去,1
?,2863
因為,340
哩啲,170
都,2149
係,4937
我,2668
期待,1
嘅,1721
戲,37
喇,1582
唔好,78
俾,460
人,718
咁,450
多,319
將,23
口碑,2
傳,6
下,387
嘞,414
講,606
出來,134
驚,105
住,246
亦都,58
恐防,1
有,1296
壞蛋,1
今日,34
哩,274
乜嘢,628
入,46
到,826
時候,111
誒,817
四點,2
零,31
鐘,36
買,306
飛,25
竟然,7
先,250
嗰,416
間,144
戲院,10
唔,1950
大,170
啊,4048
嘉禾,1
港,2
字頭,1
廣東道,1
喀,694
喂,160
但係,758
嗰度,120
嗱,89
○,30
叉開,1
少少,58
對面,3
燒臘,2
舖,14
哦,430
麵線,1
吖,621
嗎,642
唔係,1053
佢,2224
一,1099
隻,214
非常之,7
利害,1
酸辣,3
米線,5
可以,322
配,1
好多,240
嘢,565
得,515
即係,1759
話,895
正常,13
魚蛋,2
牛丸,1
嗰啲,794
甚至乎,10
檔,2
你,2535
鵝脾,1
叉,6
鵝,2
𡃉,1786
豎起,1
十,88
-,1502
直豎,1
拇指,1
冇得,51
基本上,26
所以,217
完,116
之後,95
試,63
幾,637
嗰陣,10
賣,86
兩成,4
位,32
入場,2
七,30
八成,5
其中,17
包括,5
劉,2
青雲,2
喺度,127
洋人,5
真係,579
好,1796
出,111
返,328
晒,232
啲,1299
頭髮,24
未,190
嚹,650
賊,2
噉樣,693
囖,1433
總之,27
仍然,4
個,1445
比,11
普通,16
裏邊,63
怪,8
叫聲,1
party,7
同埋,256
完全,27
識,168
笑,22
佢哋,274
緊要,35
諗,326
一啲,86
所謂,29
俚語,1
來,478
西洋,1
joke,1
就噉,9
字幕,4
譯,24
好笑,9
開心,67
有冇,159
變成,5
港產式,1
例如,15
full,5
monty,7
哩個,342
字,41
已經,185
明,41
原來,70
解,9
剝光豬,2
全裸,5
噉解,1
切合,1
戲名,1
相當,4
普遍,8
譬如,224
我哋,387
過去,16
喺,454
就算,18
英文,44
比較,70
接受,10
美,5
式,6
文化,9
比重,1
過,372
英,16
地道,3
雖然,17
